CH/C=O,CH/C-O-C,C=O/C-O-C,OMcat/C-O-C,SOC stock,SOC,pH,Clay,Silt,Sand,Skeleton,Elevation,Altitude difference,Downslope Distance Gradient,Slope,SAGA Wetness Index,Terrain Ruggedness Index,Flow accumulation,Stream Power Index,VDCN,CNBL,Profile curvature,Tangential curvature,General curvature,Total curvature,Aspect,Area,Length,Width,Coniferous forests,Beech forests,"Oak, hornbeam and chestnuts forests",Riparian vegetation,Cultivated fields,Anthropic areas,Bare surfaces / rocky outcrops,Sparce vegetation / in evolution,Meadows,Bushes and shrubs,Silicified Calcilutites and Silty Clays,Varicoloured Clays and Shales,Carbonate Turbidites,Ophiolitic/Sedimentary Breccias and Olistolites,Arenaceous-Pelitic Turbidites,,,,,,
0.021,0.005,0.237,0.502,90.327,2.415,7.213,24.403,40.832,34.764,26.681,947.243,257.192,173.334,12.031,7.806,0.282,4633633.000,503.522,89.231,858.137,-0.000365,-0.001209,-0.003334,0.000034,120.080,2389600,3821,3065,0.007,0.277,0.292,0.005,0.161,0.053,0.013,0.003,0.140,0.049,0.201,0.000,0.668,0.131,0.000,,,,,,
0.033,0.007,0.204,0.584,90.366,2.413,7.208,24.482,40.779,34.738,25.643,945.584,261.137,183.014,11.936,7.914,0.280,6190603.500,569.793,94.158,851.054,-0.000326,-0.001260,-0.003347,0.000034,121.835,2663225,3821,3325,0.007,0.296,0.306,0.005,0.146,0.048,0.012,0.006,0.129,0.045,0.258,0.000,0.605,0.132,0.005,,,,,,
0.030,0.011,0.367,0.822,70.349,1.773,7.747,28.732,44.782,26.485,20.260,481.532,132.107,113.675,12.256,8.228,0.285,824525.875,532.986,137.239,344.926,-0.000081,-0.001802,-0.003893,0.000030,136.753,185450,1594,695,0.295,0.000,0.170,0.022,0.390,0.028,0.029,0.000,0.043,0.023,0.900,0.000,0.099,0.002,0.000,,,,,,
0.031,0.008,0.277,0.910,71.116,1.777,7.680,29.798,45.878,24.324,18.807,489.888,118.807,65.036,14.861,7.315,0.348,200489.766,248.173,161.417,328.935,-0.000168,-0.001422,-0.003315,0.000033,122.279,403075,1249,883,0.388,0.000,0.179,0.000,0.397,0.015,0.000,0.000,0.000,0.021,0.076,0.175,0.034,0.000,0.715,,,,,,
0.037,0.012,0.318,1.215,81.394,2.147,7.333,26.704,42.091,31.205,21.970,807.670,396.013,274.040,12.169,7.875,0.286,12706450.000,687.414,116.159,691.808,-0.000270,-0.001170,-0.003043,0.000034,164.039,6585200,7706,4470,0.003,0.128,0.448,0.005,0.202,0.072,0.006,0.003,0.086,0.046,0.420,0.001,0.472,0.087,0.019,,,,,,
0.025,0.005,0.184,0.389,79.545,2.125,6.573,20.229,40.399,39.373,20.700,586.504,168.716,170.647,12.125,8.265,0.283,273691.063,464.421,152.489,436.001,-0.000164,-0.001675,-0.003814,0.000036,269.553,200750,1717,448,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,,,,,,
0.042,0.012,0.300,1.179,81.474,2.148,7.357,26.906,42.143,30.950,21.988,814.727,395.340,111.051,12.168,7.866,0.286,22197400.000,706.100,115.241,700.132,-0.000269,-0.001158,-0.003014,0.000034,160.644,6379025,7411,4438,0.003,0.133,0.431,0.005,0.208,0.075,0.006,0.003,0.089,0.047,0.401,0.001,0.488,0.090,0.019,,,,,,
0.015,0.003,0.189,0.310,94.300,2.635,6.876,20.897,38.077,41.026,24.042,1037.881,192.525,114.862,12.704,7.771,0.299,2791590.250,541.994,85.707,951.964,-0.000478,-0.001313,-0.003851,0.000039,118.413,1199950,2817,2409,0.001,0.513,0.056,0.000,0.036,0.052,0.026,0.006,0.232,0.078,0.328,0.000,0.417,0.255,0.000,,,,,,
0.047,0.008,0.166,0.271,86.696,2.240,7.541,31.083,44.240,24.677,14.760,891.949,124.820,85.339,10.928,9.486,0.251,539105.000,948.790,160.820,729.971,0.000013,-0.003795,-0.007724,0.000042,222.737,80550,1503,651,0.000,0.148,0.851,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.537,0.000,0.000,0.463,0.000,,,,,,
0.033,0.005,0.147,0.116,83.212,2.221,7.574,30.816,44.317,24.866,15.200,817.995,49.389,71.265,13.824,7.064,0.328,18038.832,97.403,119.155,699.359,-0.000562,-0.002484,-0.006433,0.000041,264.178,38400,358,294,0.000,0.000,0.990,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.322,0.000,0.000,0.678,0.000,,,,,,
0.019,0.004,0.219,0.269,93.128,2.482,7.032,23.783,39.393,36.824,15.816,982.977,212.476,104.673,10.826,9.367,0.258,903959.750,1218.225,165.289,817.473,0.000029,-0.002215,-0.004365,0.000032,125.611,211825,2835,1061,0.000,0.602,0.354,0.000,0.000,0.001,0.000,0.043,0.000,0.000,0.762,0.000,0.000,0.180,0.057,,,,,,
0.052,0.013,0.241,1.107,83.809,2.215,7.409,27.232,42.235,30.533,21.830,862.173,237.805,339.528,11.644,8.024,0.272,11564630.000,655.998,112.469,750.515,-0.000257,-0.001214,-0.003074,0.000032,150.095,4905725,6992,3593,0.004,0.172,0.390,0.005,0.185,0.075,0.006,0.004,0.113,0.046,0.258,0.002,0.615,0.107,0.018,,,,,,
