CH/C=O,CH/C-O-C,C=O/C-O-C,OMcat/C-O-C,SOC stock,SOC,pH,Clay,Silt,Sand,Skeleton,Elevation,Altitude difference,Downslope Distance Gradient,Slope,SAGA Wetness Index,Terrain Ruggedness Index,Flow accumulation,Stream Power Index,VDCN,CNBL,Profile curvature,Tangential curvature,General curvature,Total curvature,Aspect,Area,Length,Width,Coniferous forests,Beech forests,"Oak, hornbeam and chestnuts forests",Riparian vegetation,Cultivated fields,Anthropic areas,Bare surfaces / rocky outcrops,Sparce vegetation / in evolution,Meadows,Bushes and shrubs,Silicified Calcilutites and Silty Clays,Clays and Shales,Carbonate Turbidites,Ophiolitic/Sedimentary Breccias and Olistolites,Arenaceous-Pelitic Turbidites
0.045,0.012,0.272,0.724,75.953,2.006,7.125,27.649,42.356,29.995,18.492,682.882,295.889,418.999,13.496,6.650,0.320,686509.063,228.631,257.369,425.324,-0.000085,0.000028,-0.000146,0.000046,195.166,1737800,2940,1509,0.000,0.000,0.707,0.000,0.181,0.044,0.000,0.000,0.033,0.034,0.674,0.000,0.131,0.002,0.193
0.046,0.007,0.162,0.331,91.486,2.642,6.717,20.161,37.104,42.735,20.352,1127.918,240.656,121.395,16.103,6.407,0.388,836776.250,173.452,197.613,930.352,-0.000100,0.000031,-0.000167,0.000047,99.094,2009225,2089,1705,0.000,0.657,0.037,0.000,0.033,0.035,0.061,0.009,0.120,0.047,0.106,0.000,0.527,0.366,0.001
0.011,0.002,0.202,0.175,105.757,2.914,6.399,15.129,34.681,50.190,18.427,1116.834,220.643,86.481,15.740,6.404,0.376,2262940.500,166.486,97.139,1019.710,-0.000093,0.000077,-0.000052,0.000045,146.293,2305700,2287,1449,0.007,0.782,0.002,0.000,0.000,0.003,0.000,0.011,0.104,0.092,0.417,0.000,0.044,0.539,0.000
0.016,0.003,0.179,0.214,103.713,2.861,6.493,16.291,35.291,48.418,19.318,1101.896,243.772,59.347,15.271,6.460,0.364,519626.719,193.243,92.928,1009.020,-0.000097,0.000084,-0.000044,0.000042,140.970,2511950,2477,1468,0.008,0.727,0.010,0.000,0.000,0.022,0.000,0.010,0.134,0.089,0.384,0.000,0.120,0.496,0.000
0.041,0.010,0.237,0.488,96.265,2.642,6.813,20.299,37.973,41.729,22.467,1047.203,296.390,103.242,14.616,6.547,0.348,3282163.750,233.903,129.319,917.857,-0.000086,0.000068,-0.000056,0.000041,121.136,7088575,3273,3201,0.027,0.520,0.194,0.001,0.048,0.035,0.017,0.010,0.095,0.052,0.260,0.000,0.428,0.312,0.000
0.014,0.003,0.183,0.295,91.094,2.552,6.850,21.650,38.384,39.966,14.574,1020.321,329.437,151.059,13.275,6.733,0.315,228223.469,228.483,181.014,839.439,-0.000094,0.000049,-0.000120,0.000032,132.438,1851300,3582,1467,0.009,0.659,0.252,0.000,0.000,0.002,0.029,0.028,0.018,0.004,0.616,0.003,0.000,0.220,0.161
0.027,0.006,0.219,0.495,96.012,2.635,6.813,20.219,38.051,41.729,22.512,1037.893,341.144,183.237,14.527,6.581,0.346,3376258.250,285.944,126.346,911.516,-0.000079,0.000063,-0.000051,0.000041,119.682,7349500,3627,3187,0.032,0.502,0.212,0.003,0.049,0.035,0.017,0.009,0.091,0.050,0.278,0.000,0.421,0.300,0.000
0.021,0.005,0.237,0.502,94.137,2.560,6.929,21.377,38.919,39.704,23.509,1011.496,321.445,173.334,14.282,6.586,0.339,4633633.000,259.129,127.544,883.865,-0.000082,0.000064,-0.000053,0.000040,121.574,8465650,3946,3215,0.027,0.438,0.256,0.003,0.084,0.035,0.015,0.008,0.085,0.050,0.244,0.000,0.495,0.261,0.000
0.033,0.007,0.204,0.584,93.552,2.557,6.917,21.441,38.832,39.727,21.913,1012.425,327.978,183.014,14.098,6.618,0.335,6190603.500,265.678,136.910,875.529,-0.000082,0.000056,-0.000070,0.000038,123.628,10337800,3905,3651,0.024,0.477,0.255,0.002,0.069,0.029,0.017,0.012,0.073,0.042,0.310,0.000,0.407,0.253,0.029
0.030,0.011,0.367,0.822,71.771,1.807,7.701,27.857,44.859,27.283,22.959,548.360,198.936,113.675,13.122,6.688,0.305,824525.875,159.323,201.417,346.815,0.000017,-0.000088,-0.000146,0.000022,159.062,1265900,1866,1006,0.294,0.000,0.352,0.005,0.276,0.031,0.004,0.000,0.018,0.018,0.755,0.000,0.238,0.006,0.000
